seq	citeUrn	ctsUrn	analysis	surfaceForm
6662	urn:cite:fu:synTok_tlg0085_tlg003_fu.6662	urn:cts:greekLit:tlg0085.tlg003.fu:1024@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6662	,
6663	urn:cite:fu:synTok_tlg0085_tlg003_fu.6663	urn:cts:greekLit:tlg0085.tlg003.fu:1025@κελαινόβρωτον[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6663	κελαινόβρωτον
6664	urn:cite:fu:synTok_tlg0085_tlg003_fu.6664	urn:cts:greekLit:tlg0085.tlg003.fu:1025@δ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6664	δ᾽
6665	urn:cite:fu:synTok_tlg0085_tlg003_fu.6665	urn:cts:greekLit:tlg0085.tlg003.fu:1025@ἧπαρ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6665	ἧπαρ
6666	urn:cite:fu:synTok_tlg0085_tlg003_fu.6666	urn:cts:greekLit:tlg0085.tlg003.fu:1025@ἐκθοινήσεται[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6666	ἐκθοινήσεται
6667	urn:cite:fu:synTok_tlg0085_tlg003_fu.6667	urn:cts:greekLit:tlg0085.tlg003.fu:1025@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6667	.
6668	urn:cite:fu:synTok_tlg0085_tlg003_fu.6668	urn:cts:greekLit:tlg0085.tlg003.fu:1026@τοιοῦδε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6668	τοιοῦδε
6669	urn:cite:fu:synTok_tlg0085_tlg003_fu.6669	urn:cts:greekLit:tlg0085.tlg003.fu:1026@μόχθου[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6669	μόχθου
6670	urn:cite:fu:synTok_tlg0085_tlg003_fu.6670	urn:cts:greekLit:tlg0085.tlg003.fu:1026@τέρμα[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6670	τέρμα
6671	urn:cite:fu:synTok_tlg0085_tlg003_fu.6671	urn:cts:greekLit:tlg0085.tlg003.fu:1026@μή[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6671	μή
6672	urn:cite:fu:synTok_tlg0085_tlg003_fu.6672	urn:cts:greekLit:tlg0085.tlg003.fu:1026@τι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6672	τι
6673	urn:cite:fu:synTok_tlg0085_tlg003_fu.6673	urn:cts:greekLit:tlg0085.tlg003.fu:1026@προσδόκα[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6673	προσδόκα
6674	urn:cite:fu:synTok_tlg0085_tlg003_fu.6674	urn:cts:greekLit:tlg0085.tlg003.fu:1026@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6674	,
6675	urn:cite:fu:synTok_tlg0085_tlg003_fu.6675	urn:cts:greekLit:tlg0085.tlg003.fu:1027@πρὶν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6675	πρὶν
6676	urn:cite:fu:synTok_tlg0085_tlg003_fu.6676	urn:cts:greekLit:tlg0085.tlg003.fu:1027@ἂν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6676	ἂν
6677	urn:cite:fu:synTok_tlg0085_tlg003_fu.6677	urn:cts:greekLit:tlg0085.tlg003.fu:1027@θεῶν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6677	θεῶν
6678	urn:cite:fu:synTok_tlg0085_tlg003_fu.6678	urn:cts:greekLit:tlg0085.tlg003.fu:1027@τις[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6678	τις
6679	urn:cite:fu:synTok_tlg0085_tlg003_fu.6679	urn:cts:greekLit:tlg0085.tlg003.fu:1027@διάδοχος[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6679	διάδοχος
6680	urn:cite:fu:synTok_tlg0085_tlg003_fu.6680	urn:cts:greekLit:tlg0085.tlg003.fu:1027@τῶν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6680	τῶν
6681	urn:cite:fu:synTok_tlg0085_tlg003_fu.6681	urn:cts:greekLit:tlg0085.tlg003.fu:1027@σῶν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6681	σῶν
6682	urn:cite:fu:synTok_tlg0085_tlg003_fu.6682	urn:cts:greekLit:tlg0085.tlg003.fu:1027@πόνων[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6682	πόνων
6683	urn:cite:fu:synTok_tlg0085_tlg003_fu.6683	urn:cts:greekLit:tlg0085.tlg003.fu:1028@φανῇ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6683	φανῇ
6684	urn:cite:fu:synTok_tlg0085_tlg003_fu.6684	urn:cts:greekLit:tlg0085.tlg003.fu:1028@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6684	,
6685	urn:cite:fu:synTok_tlg0085_tlg003_fu.6685	urn:cts:greekLit:tlg0085.tlg003.fu:1028@θελήσῃ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6685	θελήσῃ
