seq	citeUrn	ctsUrn	analysis	surfaceForm
505	urn:cite:fu:synTok_tlg0085_tlg003_fu.505	urn:cts:greekLit:tlg0085.tlg003.fu:74@σκέλη[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.505	σκέλη
506	urn:cite:fu:synTok_tlg0085_tlg003_fu.506	urn:cts:greekLit:tlg0085.tlg003.fu:74@δὲ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.506	δὲ
507	urn:cite:fu:synTok_tlg0085_tlg003_fu.507	urn:cts:greekLit:tlg0085.tlg003.fu:74@κίρκωσον[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.507	κίρκωσον
508	urn:cite:fu:synTok_tlg0085_tlg003_fu.508	urn:cts:greekLit:tlg0085.tlg003.fu:74@βίᾳ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.508	βίᾳ
509	urn:cite:fu:synTok_tlg0085_tlg003_fu.509	urn:cts:greekLit:tlg0085.tlg003.fu:74@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.509	.
510	urn:cite:fu:synTok_tlg0085_tlg003_fu.510	urn:cts:greekLit:tlg0085.tlg003.fu:75@καὶ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.510	καὶ
511	urn:cite:fu:synTok_tlg0085_tlg003_fu.511	urn:cts:greekLit:tlg0085.tlg003.fu:75@δὴ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.511	δὴ
512	urn:cite:fu:synTok_tlg0085_tlg003_fu.512	urn:cts:greekLit:tlg0085.tlg003.fu:75@πέπρακται[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.512	πέπρακται
513	urn:cite:fu:synTok_tlg0085_tlg003_fu.513	urn:cts:greekLit:tlg0085.tlg003.fu:75@τοὔργον[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.513	τοὔργον
514	urn:cite:fu:synTok_tlg0085_tlg003_fu.514	urn:cts:greekLit:tlg0085.tlg003.fu:75@οὐ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.514	οὐ
515	urn:cite:fu:synTok_tlg0085_tlg003_fu.515	urn:cts:greekLit:tlg0085.tlg003.fu:75@μακρῷ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.515	μακρῷ
516	urn:cite:fu:synTok_tlg0085_tlg003_fu.516	urn:cts:greekLit:tlg0085.tlg003.fu:75@πόνῳ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.516	πόνῳ
517	urn:cite:fu:synTok_tlg0085_tlg003_fu.517	urn:cts:greekLit:tlg0085.tlg003.fu:75@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.517	.
518	urn:cite:fu:synTok_tlg0085_tlg003_fu.518	urn:cts:greekLit:tlg0085.tlg003.fu:76@ἐρρωμένως[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.518	ἐρρωμένως
519	urn:cite:fu:synTok_tlg0085_tlg003_fu.519	urn:cts:greekLit:tlg0085.tlg003.fu:76@νῦν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.519	νῦν
520	urn:cite:fu:synTok_tlg0085_tlg003_fu.520	urn:cts:greekLit:tlg0085.tlg003.fu:76@θεῖνε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.520	θεῖνε
521	urn:cite:fu:synTok_tlg0085_tlg003_fu.521	urn:cts:greekLit:tlg0085.tlg003.fu:76@διατόρους[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.521	διατόρους
522	urn:cite:fu:synTok_tlg0085_tlg003_fu.522	urn:cts:greekLit:tlg0085.tlg003.fu:76@πέδας[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.522	πέδας
523	urn:cite:fu:synTok_tlg0085_tlg003_fu.523	urn:cts:greekLit:tlg0085.tlg003.fu:76@·[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.523	·
524	urn:cite:fu:synTok_tlg0085_tlg003_fu.524	urn:cts:greekLit:tlg0085.tlg003.fu:77@ὡς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.524	ὡς
525	urn:cite:fu:synTok_tlg0085_tlg003_fu.525	urn:cts:greekLit:tlg0085.tlg003.fu:77@οὑπιτιμητής[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.525	οὑπιτιμητής
526	urn:cite:fu:synTok_tlg0085_tlg003_fu.526	urn:cts:greekLit:tlg0085.tlg003.fu:77@γε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.526	γε
527	urn:cite:fu:synTok_tlg0085_tlg003_fu.527	urn:cts:greekLit:tlg0085.tlg003.fu:77@τῶν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.527	τῶν
528	urn:cite:fu:synTok_tlg0085_tlg003_fu.528	urn:cts:greekLit:tlg0085.tlg003.fu:77@ἔργων[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.528	ἔργων
529	urn:cite:fu:synTok_tlg0085_tlg003_fu.529	urn:cts:greekLit:tlg0085.tlg003.fu:77@βαρύς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.529	βαρύς
530	urn:cite:fu:synTok_tlg0085_tlg003_fu.530	urn:cts:greekLit:tlg0085.tlg003.fu:77@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.530	.
531	urn:cite:fu:synTok_tlg0085_tlg003_fu.531	urn:cts:greekLit:tlg0085.tlg003.fu:78@ὅμοια[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.531	ὅμοια
532	urn:cite:fu:synTok_tlg0085_tlg003_fu.532	urn:cts:greekLit:tlg0085.tlg003.fu:78@μορφῇ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.532	μορφῇ
533	urn:cite:fu:synTok_tlg0085_tlg003_fu.533	urn:cts:greekLit:tlg0085.tlg003.fu:78@γλῶσσά[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.533	γλῶσσά
534	urn:cite:fu:synTok_tlg0085_tlg003_fu.534	urn:cts:greekLit:tlg0085.tlg003.fu:78@σου[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.534	σου
535	urn:cite:fu:synTok_tlg0085_tlg003_fu.535	urn:cts:greekLit:tlg0085.tlg003.fu:78@γηρύεται[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.535	γηρύεται
536	urn:cite:fu:synTok_tlg0085_tlg003_fu.536	urn:cts:greekLit:tlg0085.tlg003.fu:78@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.536	.
537	urn:cite:fu:synTok_tlg0085_tlg003_fu.537	urn:cts:greekLit:tlg0085.tlg003.fu:79@σὺ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.537	σὺ
538	urn:cite:fu:synTok_tlg0085_tlg003_fu.538	urn:cts:greekLit:tlg0085.tlg003.fu:79@μαλθακίζου[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.538	μαλθακίζου
539	urn:cite:fu:synTok_tlg0085_tlg003_fu.539	urn:cts:greekLit:tlg0085.tlg003.fu:79@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.539	,
540	urn:cite:fu:synTok_tlg0085_tlg003_fu.540	urn:cts:greekLit:tlg0085.tlg003.fu:79@τὴν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.540	τὴν
541	urn:cite:fu:synTok_tlg0085_tlg003_fu.541	urn:cts:greekLit:tlg0085.tlg003.fu:79@δ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.541	δ᾽
542	urn:cite:fu:synTok_tlg0085_tlg003_fu.542	urn:cts:greekLit:tlg0085.tlg003.fu:79@ἐμὴν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.542	ἐμὴν
543	urn:cite:fu:synTok_tlg0085_tlg003_fu.543	urn:cts:greekLit:tlg0085.tlg003.fu:79@αὐθαδίαν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.543	αὐθαδίαν
544	urn:cite:fu:synTok_tlg0085_tlg003_fu.544	urn:cts:greekLit:tlg0085.tlg003.fu:80@ὀργῆς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.544	ὀργῆς
545	urn:cite:fu:synTok_tlg0085_tlg003_fu.545	urn:cts:greekLit:tlg0085.tlg003.fu:80@τε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.545	τε
546	urn:cite:fu:synTok_tlg0085_tlg003_fu.546	urn:cts:greekLit:tlg0085.tlg003.fu:80@τραχύτητα[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.546	τραχύτητα
547	urn:cite:fu:synTok_tlg0085_tlg003_fu.547	urn:cts:greekLit:tlg0085.tlg003.fu:80@μὴ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.547	μὴ
548	urn:cite:fu:synTok_tlg0085_tlg003_fu.548	urn:cts:greekLit:tlg0085.tlg003.fu:80@᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.548	᾽
549	urn:cite:fu:synTok_tlg0085_tlg003_fu.549	urn:cts:greekLit:tlg0085.tlg003.fu:80@πίπλησσέ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.549	πίπλησσέ
550	urn:cite:fu:synTok_tlg0085_tlg003_fu.550	urn:cts:greekLit:tlg0085.tlg003.fu:80@μοι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.550	μοι
551	urn:cite:fu:synTok_tlg0085_tlg003_fu.551	urn:cts:greekLit:tlg0085.tlg003.fu:80@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.551	.
552	urn:cite:fu:synTok_tlg0085_tlg003_fu.552	urn:cts:greekLit:tlg0085.tlg003.fu:81@στείχωμεν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.552	στείχωμεν
553	urn:cite:fu:synTok_tlg0085_tlg003_fu.553	urn:cts:greekLit:tlg0085.tlg003.fu:81@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.553	,
554	urn:cite:fu:synTok_tlg0085_tlg003_fu.554	urn:cts:greekLit:tlg0085.tlg003.fu:81@ὡς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.554	ὡς
555	urn:cite:fu:synTok_tlg0085_tlg003_fu.555	urn:cts:greekLit:tlg0085.tlg003.fu:81@κώλοισιν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.555	κώλοισιν
556	urn:cite:fu:synTok_tlg0085_tlg003_fu.556	urn:cts:greekLit:tlg0085.tlg003.fu:81@ἀμφίβληστρ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.556	ἀμφίβληστρ᾽
557	urn:cite:fu:synTok_tlg0085_tlg003_fu.557	urn:cts:greekLit:tlg0085.tlg003.fu:81@ἔχει[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.557	ἔχει
558	urn:cite:fu:synTok_tlg0085_tlg003_fu.558	urn:cts:greekLit:tlg0085.tlg003.fu:81@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.558	.
559	urn:cite:fu:synTok_tlg0085_tlg003_fu.559	urn:cts:greekLit:tlg0085.tlg003.fu:82@ἐνταῦθα[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.559	ἐνταῦθα
560	urn:cite:fu:synTok_tlg0085_tlg003_fu.560	urn:cts:greekLit:tlg0085.tlg003.fu:82@νῦν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.560	νῦν
561	urn:cite:fu:synTok_tlg0085_tlg003_fu.561	urn:cts:greekLit:tlg0085.tlg003.fu:82@ὕβριζε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.561	ὕβριζε
562	urn:cite:fu:synTok_tlg0085_tlg003_fu.562	urn:cts:greekLit:tlg0085.tlg003.fu:82@καὶ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.562	καὶ
563	urn:cite:fu:synTok_tlg0085_tlg003_fu.563	urn:cts:greekLit:tlg0085.tlg003.fu:82@θεῶν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.563	θεῶν
564	urn:cite:fu:synTok_tlg0085_tlg003_fu.564	urn:cts:greekLit:tlg0085.tlg003.fu:82@γέρα[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.564	γέρα
565	urn:cite:fu:synTok_tlg0085_tlg003_fu.565	urn:cts:greekLit:tlg0085.tlg003.fu:83@συλῶν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.565	συλῶν
566	urn:cite:fu:synTok_tlg0085_tlg003_fu.566	urn:cts:greekLit:tlg0085.tlg003.fu:83@ἐφημέροισι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.566	ἐφημέροισι
567	urn:cite:fu:synTok_tlg0085_tlg003_fu.567	urn:cts:greekLit:tlg0085.tlg003.fu:83@προστίθει[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.567	προστίθει
568	urn:cite:fu:synTok_tlg0085_tlg003_fu.568	urn:cts:greekLit:tlg0085.tlg003.fu:83@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.568	.
569	urn:cite:fu:synTok_tlg0085_tlg003_fu.569	urn:cts:greekLit:tlg0085.tlg003.fu:83@τί[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.569	τί
570	urn:cite:fu:synTok_tlg0085_tlg003_fu.570	urn:cts:greekLit:tlg0085.tlg003.fu:83@σοι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.570	σοι
571	urn:cite:fu:synTok_tlg0085_tlg003_fu.571	urn:cts:greekLit:tlg0085.tlg003.fu:84@οἷοί[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.571	οἷοί
572	urn:cite:fu:synTok_tlg0085_tlg003_fu.572	urn:cts:greekLit:tlg0085.tlg003.fu:84@τε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.572	τε
573	urn:cite:fu:synTok_tlg0085_tlg003_fu.573	urn:cts:greekLit:tlg0085.tlg003.fu:84@θνητοὶ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.573	θνητοὶ
574	urn:cite:fu:synTok_tlg0085_tlg003_fu.574	urn:cts:greekLit:tlg0085.tlg003.fu:84@τῶνδ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.574	τῶνδ᾽
575	urn:cite:fu:synTok_tlg0085_tlg003_fu.575	urn:cts:greekLit:tlg0085.tlg003.fu:84@ἀπαντλῆσαι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.575	ἀπαντλῆσαι
576	urn:cite:fu:synTok_tlg0085_tlg003_fu.576	urn:cts:greekLit:tlg0085.tlg003.fu:84@πόνων[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.576	πόνων
577	urn:cite:fu:synTok_tlg0085_tlg003_fu.577	urn:cts:greekLit:tlg0085.tlg003.fu:84@;[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.577	;
578	urn:cite:fu:synTok_tlg0085_tlg003_fu.578	urn:cts:greekLit:tlg0085.tlg003.fu:85@ψευδωνύμως[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.578	ψευδωνύμως
579	urn:cite:fu:synTok_tlg0085_tlg003_fu.579	urn:cts:greekLit:tlg0085.tlg003.fu:85@σε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.579	σε
580	urn:cite:fu:synTok_tlg0085_tlg003_fu.580	urn:cts:greekLit:tlg0085.tlg003.fu:85@δαίμονες[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.580	δαίμονες
581	urn:cite:fu:synTok_tlg0085_tlg003_fu.581	urn:cts:greekLit:tlg0085.tlg003.fu:85@Προμηθέα[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.581	Προμηθέα
582	urn:cite:fu:synTok_tlg0085_tlg003_fu.582	urn:cts:greekLit:tlg0085.tlg003.fu:86@καλοῦσιν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.582	καλοῦσιν
583	urn:cite:fu:synTok_tlg0085_tlg003_fu.583	urn:cts:greekLit:tlg0085.tlg003.fu:86@·[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.583	·
584	urn:cite:fu:synTok_tlg0085_tlg003_fu.584	urn:cts:greekLit:tlg0085.tlg003.fu:86@αὐτὸν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.584	αὐτὸν
585	urn:cite:fu:synTok_tlg0085_tlg003_fu.585	urn:cts:greekLit:tlg0085.tlg003.fu:86@γάρ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.585	γάρ
586	urn:cite:fu:synTok_tlg0085_tlg003_fu.586	urn:cts:greekLit:tlg0085.tlg003.fu:86@σε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.586	σε
587	urn:cite:fu:synTok_tlg0085_tlg003_fu.587	urn:cts:greekLit:tlg0085.tlg003.fu:86@δεῖ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.587	δεῖ
588	urn:cite:fu:synTok_tlg0085_tlg003_fu.588	urn:cts:greekLit:tlg0085.tlg003.fu:86@προμηθέως[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.588	προμηθέως
589	urn:cite:fu:synTok_tlg0085_tlg003_fu.589	urn:cts:greekLit:tlg0085.tlg003.fu:86@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.589	,
590	urn:cite:fu:synTok_tlg0085_tlg003_fu.590	urn:cts:greekLit:tlg0085.tlg003.fu:87@ὅτῳ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.590	ὅτῳ
591	urn:cite:fu:synTok_tlg0085_tlg003_fu.591	urn:cts:greekLit:tlg0085.tlg003.fu:87@τρόπῳ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.591	τρόπῳ
592	urn:cite:fu:synTok_tlg0085_tlg003_fu.592	urn:cts:greekLit:tlg0085.tlg003.fu:87@τῆσδ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.592	τῆσδ᾽
593	urn:cite:fu:synTok_tlg0085_tlg003_fu.593	urn:cts:greekLit:tlg0085.tlg003.fu:87@ἐκκυλισθήσῃ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.593	ἐκκυλισθήσῃ
594	urn:cite:fu:synTok_tlg0085_tlg003_fu.594	urn:cts:greekLit:tlg0085.tlg003.fu:87@τέχνης[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.594	τέχνης
595	urn:cite:fu:synTok_tlg0085_tlg003_fu.595	urn:cts:greekLit:tlg0085.tlg003.fu:87@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.595	.
596	urn:cite:fu:synTok_tlg0085_tlg003_fu.596	urn:cts:greekLit:tlg0085.tlg003.fu:88@ὦ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.596	ὦ
597	urn:cite:fu:synTok_tlg0085_tlg003_fu.597	urn:cts:greekLit:tlg0085.tlg003.fu:88@δῖος[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.597	δῖος
598	urn:cite:fu:synTok_tlg0085_tlg003_fu.598	urn:cts:greekLit:tlg0085.tlg003.fu:88@αἰθὴρ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.598	αἰθὴρ
599	urn:cite:fu:synTok_tlg0085_tlg003_fu.599	urn:cts:greekLit:tlg0085.tlg003.fu:88@καὶ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.599	καὶ
600	urn:cite:fu:synTok_tlg0085_tlg003_fu.600	urn:cts:greekLit:tlg0085.tlg003.fu:88@ταχύπτεροι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.600	ταχύπτεροι
601	urn:cite:fu:synTok_tlg0085_tlg003_fu.601	urn:cts:greekLit:tlg0085.tlg003.fu:88@πνοαί[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.601	πνοαί
602	urn:cite:fu:synTok_tlg0085_tlg003_fu.602	urn:cts:greekLit:tlg0085.tlg003.fu:88@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.602	,
603	urn:cite:fu:synTok_tlg0085_tlg003_fu.603	urn:cts:greekLit:tlg0085.tlg003.fu:89@ποταμῶν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.603	ποταμῶν
604	urn:cite:fu:synTok_tlg0085_tlg003_fu.604	urn:cts:greekLit:tlg0085.tlg003.fu:89@τε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.604	τε
605	urn:cite:fu:synTok_tlg0085_tlg003_fu.605	urn:cts:greekLit:tlg0085.tlg003.fu:89@πηγαί[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.605	πηγαί
606	urn:cite:fu:synTok_tlg0085_tlg003_fu.606	urn:cts:greekLit:tlg0085.tlg003.fu:89@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.606	,
607	urn:cite:fu:synTok_tlg0085_tlg003_fu.607	urn:cts:greekLit:tlg0085.tlg003.fu:89@ποντίων[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.607	ποντίων
608	urn:cite:fu:synTok_tlg0085_tlg003_fu.608	urn:cts:greekLit:tlg0085.tlg003.fu:89@τε[2]	urn:cite:fu:synTok_tlg0085_tlg003_fu.608	τε
609	urn:cite:fu:synTok_tlg0085_tlg003_fu.609	urn:cts:greekLit:tlg0085.tlg003.fu:89@κυμάτων[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.609	κυμάτων
610	urn:cite:fu:synTok_tlg0085_tlg003_fu.610	urn:cts:greekLit:tlg0085.tlg003.fu:90@ἀνήριθμον[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.610	ἀνήριθμον
611	urn:cite:fu:synTok_tlg0085_tlg003_fu.611	urn:cts:greekLit:tlg0085.tlg003.fu:90@γέλασμα[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.611	γέλασμα
612	urn:cite:fu:synTok_tlg0085_tlg003_fu.612	urn:cts:greekLit:tlg0085.tlg003.fu:90@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.612	,
613	urn:cite:fu:synTok_tlg0085_tlg003_fu.613	urn:cts:greekLit:tlg0085.tlg003.fu:90@παμμῆτόρ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.613	παμμῆτόρ
614	urn:cite:fu:synTok_tlg0085_tlg003_fu.614	urn:cts:greekLit:tlg0085.tlg003.fu:90@τε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.614	τε
615	urn:cite:fu:synTok_tlg0085_tlg003_fu.615	urn:cts:greekLit:tlg0085.tlg003.fu:90@γῆ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.615	γῆ
616	urn:cite:fu:synTok_tlg0085_tlg003_fu.616	urn:cts:greekLit:tlg0085.tlg003.fu:90@,[2]	urn:cite:fu:synTok_tlg0085_tlg003_fu.616	,
617	urn:cite:fu:synTok_tlg0085_tlg003_fu.617	urn:cts:greekLit:tlg0085.tlg003.fu:91@καὶ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.617	καὶ
618	urn:cite:fu:synTok_tlg0085_tlg003_fu.618	urn:cts:greekLit:tlg0085.tlg003.fu:91@τὸν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.618	τὸν
619	urn:cite:fu:synTok_tlg0085_tlg003_fu.619	urn:cts:greekLit:tlg0085.tlg003.fu:91@πανόπτην[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.619	πανόπτην
620	urn:cite:fu:synTok_tlg0085_tlg003_fu.620	urn:cts:greekLit:tlg0085.tlg003.fu:91@κύκλον[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.620	κύκλον
621	urn:cite:fu:synTok_tlg0085_tlg003_fu.621	urn:cts:greekLit:tlg0085.tlg003.fu:91@ἡλίου[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.621	ἡλίου
622	urn:cite:fu:synTok_tlg0085_tlg003_fu.622	urn:cts:greekLit:tlg0085.tlg003.fu:91@καλῶ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.622	καλῶ
623	urn:cite:fu:synTok_tlg0085_tlg003_fu.623	urn:cts:greekLit:tlg0085.tlg003.fu:91@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.623	.
624	urn:cite:fu:synTok_tlg0085_tlg003_fu.624	urn:cts:greekLit:tlg0085.tlg003.fu:92@ἴδεσθέ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.624	ἴδεσθέ
625	urn:cite:fu:synTok_tlg0085_tlg003_fu.625	urn:cts:greekLit:tlg0085.tlg003.fu:92@μ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.625	μ᾽
626	urn:cite:fu:synTok_tlg0085_tlg003_fu.626	urn:cts:greekLit:tlg0085.tlg003.fu:92@οἷα[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.626	οἷα
627	urn:cite:fu:synTok_tlg0085_tlg003_fu.627	urn:cts:greekLit:tlg0085.tlg003.fu:92@πρὸς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.627	πρὸς
628	urn:cite:fu:synTok_tlg0085_tlg003_fu.628	urn:cts:greekLit:tlg0085.tlg003.fu:92@θεῶν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.628	θεῶν
629	urn:cite:fu:synTok_tlg0085_tlg003_fu.629	urn:cts:greekLit:tlg0085.tlg003.fu:92@πάσχω[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.629	πάσχω
630	urn:cite:fu:synTok_tlg0085_tlg003_fu.630	urn:cts:greekLit:tlg0085.tlg003.fu:92@θεός[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.630	θεός
631	urn:cite:fu:synTok_tlg0085_tlg003_fu.631	urn:cts:greekLit:tlg0085.tlg003.fu:92@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.631	.
632	urn:cite:fu:synTok_tlg0085_tlg003_fu.632	urn:cts:greekLit:tlg0085.tlg003.fu:93@δέρχθηθ᾽[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.632	δέρχθηθ᾽
633	urn:cite:fu:synTok_tlg0085_tlg003_fu.633	urn:cts:greekLit:tlg0085.tlg003.fu:93@οἵαις[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.633	οἵαις
634	urn:cite:fu:synTok_tlg0085_tlg003_fu.634	urn:cts:greekLit:tlg0085.tlg003.fu:93@αἰκείαισιν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.634	αἰκείαισιν
635	urn:cite:fu:synTok_tlg0085_tlg003_fu.635	urn:cts:greekLit:tlg0085.tlg003.fu:94@διακναιόμενος[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.635	διακναιόμενος
636	urn:cite:fu:synTok_tlg0085_tlg003_fu.636	urn:cts:greekLit:tlg0085.tlg003.fu:94@τὸν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.636	τὸν
637	urn:cite:fu:synTok_tlg0085_tlg003_fu.637	urn:cts:greekLit:tlg0085.tlg003.fu:94@μυριετῆ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.637	μυριετῆ
638	urn:cite:fu:synTok_tlg0085_tlg003_fu.638	urn:cts:greekLit:tlg0085.tlg003.fu:95@χρόνον[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.638	χρόνον
639	urn:cite:fu:synTok_tlg0085_tlg003_fu.639	urn:cts:greekLit:tlg0085.tlg003.fu:95@ἀθλεύσω[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.639	ἀθλεύσω
640	urn:cite:fu:synTok_tlg0085_tlg003_fu.640	urn:cts:greekLit:tlg0085.tlg003.fu:95@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.640	.
